frame,person_box,alert,reason
110,"(683, 75, 765, 223)",0,none
110,"(504, 0, 535, 59)",0,none
110,"(675, 177, 798, 385)",0,none
111,"(187, 39, 252, 248)",0,none
111,"(684, 76, 763, 221)",0,none
111,"(504, 0, 536, 55)",0,none
111,"(672, 177, 790, 388)",0,none
112,"(188, 38, 253, 248)",0,none
112,"(685, 75, 765, 220)",0,none
112,"(672, 177, 794, 383)",0,none
113,"(188, 40, 252, 247)",0,none
113,"(682, 77, 764, 227)",0,none
113,"(672, 180, 793, 371)",0,none
114,"(188, 38, 251, 247)",0,none
114,"(682, 77, 764, 224)",0,none
114,"(673, 175, 792, 382)",0,none
115,"(188, 34, 252, 249)",0,none
115,"(684, 76, 766, 219)",0,none
115,"(672, 176, 795, 379)",0,none
116,"(188, 41, 252, 245)",0,none
116,"(683, 77, 765, 220)",0,none
116,"(672, 178, 793, 371)",0,none
117,"(188, 36, 252, 247)",0,none
117,"(685, 78, 764, 225)",0,none
117,"(671, 177, 792, 381)",0,none
118,"(188, 25, 265, 254)",0,none
118,"(682, 78, 764, 226)",0,none
118,"(672, 179, 792, 380)",0,none
118,"(406, 0, 448, 57)",0,none
119,"(230, 18, 299, 241)",0,none
119,"(681, 78, 767, 236)",0,none
119,"(493, 1, 539, 64)",0,none
119,"(672, 177, 790, 387)",0,none
